1,Dial Decadence,"25 JULY - 2 AUGUST Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/1d4/775_290_2/vwvtuoxtuxoci0s0q94afub6er0lbuwv.jpeg,https://ineichen.com/auctions/timed-66/,71,5,JULY,-1,N/A,2,AUGUST,-1,N/A,"Timed Auction, Zürich"
2,Signature Timekeeping,"16 - 22 JULY Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/568/775_290_2/smwjc7ses39hjrqw63mvkqn7rkws4jwz.png,https://ineichen.com/auctions/timed-65/,43,16,JULY,-1,N/A,22,JULY,-1,N/A,"Timed Auction, Zürich"
3,Refined Collection,"6 - 12 JULY Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/bed/775_290_2/krv33u6r7l358jr52in9mfvexs0llb4j.jpg,https://ineichen.com/auctions/timed-64/,31,6,JULY,-1,N/A,12,JULY,-1,N/A,"Timed Auction, Zürich"
4,Fast & Fabulous,"29 JUNE - 4 JULY Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/069/775_290_2/12ckqtzt05fez2b6030n2crieutd9bph.jpg,https://ineichen.com/auctions/timed-62/,34,9,JUNE,-1,N/A,4,JULY,-1,N/A,"Timed Auction, Zürich"
5,Ticking Treasures,"22 - 27 JUNE 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/47e/775_290_2/emoctln7dzzymjj5wpdfs41nq5c5t8m2.jpg,https://ineichen.com/auctions/timed-61/,49,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
6,Beyond Time,"14 - 20 JUNE Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/dd3/775_290_2/xg4fykif5r37lld7bzzgfhe5lihz22o3.jpg,https://ineichen.com/auctions/timed-60/,59,14,JUNE,-1,N/A,20,JUNE,-1,N/A,"Timed Auction, Zürich"
7,Horological June,"5 - 12 JUNE 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/8c4/775_290_2/wgpmmx0nedtp812vhnoi82f20v2m18wr.jpg,https://ineichen.com/auctions/timed-59/,56,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
8,Timepiece Bloom,"25 MAY - 4 JUNE 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/01e/775_290_2/qxkoteenidcqs0wkc6zwaz9wpcu0gmfm.jpg,https://ineichen.com/auctions/timed-58/,86,25,MAY,-1,N/A,4,JUNE,-1,15:00 CET,"Timed Auction, Zürich"
9,Single Owner Selection,"16 - 24 MAY 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/e45/775_290_2/bo3es0flkik24h7f22zdq3fp4fbi2zdq.jpg,https://ineichen.com/auctions/timed-56/,34,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
10,Horological Deals,"4 - 14 MAY Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/085/775_290_2/eoh7p2c02dlyjqy8ruxibnkq305mwuud.jpg,https://ineichen.com/auctions/timed-57/,90,4,MAY,-1,N/A,14,MAY,-1,N/A,"Timed Auction, Zürich"
11,Classic Elegance,"23 - 30 APRIL Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/7e0/775_290_2/6d28vjrzp6a6db1jvu0v802yijxgzah0.png,https://ineichen.com/auctions/timed-55/,58,23,APRIL,-1,N/A,30,APRIL,-1,N/A,"Timed Auction, Zürich"
12,Timepiece Splendor,"10 - 22 APRIL 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/60d/775_290_2/x5ykns3coabta15mdt26fmjze2dnvpco.png,https://ineichen.com/auctions/timed-54/,60,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
13,Tourbillon Pioneer,"3 - 9 APRIL 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/087/775_290_2/x2rcsepv2fw3iqmicrlelcotdgrxuzyp.png,https://ineichen.com/auctions/timed-53/,61,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
14,Time Capsule,"24 MARCH - 2 APRIL 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/f50/775_290_2/z0ohfjac64gpzw325it8xwv21sbhnd0b.png,https://ineichen.com/auctions/timed-52/,69,24,MARCH,-1,N/A,2,APRIL,-1,15:00 CET,"Timed Auction, Zürich"
15,Timepiece Gala,"16 - 22 MARCH 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/429/775_290_2/gvgk2we8aala3off0h5fm8kfsx700ihd.png,https://ineichen.com/auctions/timed-51/,59,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
16,Timeless Treasures,"9 - 15 MARCH 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/df7/775_290_2/08u13wr05ynn3gw7sdx2rqc2xmtyfle8.jpg,https://ineichen.com/auctions/timed-50/,56,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
17,Springtime Elegance,"29 FEBRUARY - 7 MARCH 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/5bb/775_290_2/rj61b2tnwzewv321jszrr1zbpwi9k1y1.png,https://ineichen.com/auctions/timed-49/,63,29,FEBRUARY,-1,N/A,7,MARCH,-1,15:00 CET,"Timed Auction, Zürich"
